Annotation	Gene-Symbol
Microglia-like-in-Human-SingleCellSig	NAV3
Microglia-like-in-Human-SingleCellSig	P2RY12
Microglia-like-in-Human-SingleCellSig	SALL1
Microglia-like-in-Human-SingleCellSig	SIGLEC8
Microglia-like-in-Human-SingleCellSig	SLC1A3
Microglia-like-in-Human-FlowSort	P2RY12
Microglia-like-in-Human-FlowSort	CX3CR1
Microglia-like-in-Human-FlowSort	HLA-DRA
Microglia-like-in-Human-FlowSort	BIN1
Microglia-like-in-Human-FlowSort	CD69
Microglia-like-in-Human-FlowSort	CD151
Microglia-like-in-Human-FlowSort	TMEM119
Metallothionein-RTM-like-in-Human-SingleCellSig	MT1E
Metallothionein-RTM-like-in-Human-SingleCellSig	MT1F
Metallothionein-RTM-like-in-Human-SingleCellSig	MT1G
Metallothionein-RTM-like-in-Human-SingleCellSig	MT1H
Metallothionein-RTM-like-in-Human-SingleCellSig	MT1M
Metallothionein-RTM-like-in-Human-SingleCellSig	MT1X
Metallothionein-RTM-like-in-Human-SingleCellSig	MT2A
Metallothionein-RTM-like-in-Human-SingleCellSig	MTG1
Metallothionein-RTM-like-in-Human-SingleCellSig	CXCL9
Metallothionein-RTM-like-in-Human-SingleCellSig	CXCL10
Metallothionein-RTM-like-in-Human-SingleCellSig	GBP1
Metallothionein-RTM-like-in-Human-SingleCellSig	IFITM3
Metallothionein-RTM-like-in-Human-SingleCellSig	LGALS2
Metallothionein-RTM-like-in-Human-SingleCellSig	PARP14
Metallothionein-RTM-like-in-Human-SingleCellSig	SLC30A1
Metallothionein-RTM-like-in-Human-SingleCellSig	SLC39A8
Metallothionein-RTM-like-in-Human-SingleCellSig	STAT1
Metallothionein-RTM-like-in-Human-SingleCellSig	TNFSF13B
Metallothionein-RTM-like-in-Human-FlowSort	CD68
Metallothionein-RTM-like-in-Human-FlowSort	MRC1
Metallothionein-RTM-like-in-Human-FlowSort	CD163
Metallothionein-RTM-like-in-Human-FlowSort	MT1E
Metallothionein-RTM-like-in-Human-FlowSort	MT1F
Metallothionein-RTM-like-in-Human-FlowSort	MT1G
Metallothionein-RTM-like-in-Human-FlowSort	MT1H
Metallothionein-RTM-like-in-Human-FlowSort	MT1M
Metallothionein-RTM-like-in-Human-FlowSort	MT1X
