term	name
Tumor_Derived_perCellType_Progenitor-like	CTSC
Tumor_Derived_perCellType_Progenitor-like	PRDX6
Tumor_Derived_perCellType_Progenitor-like	EGFL7
Tumor_Derived_perCellType_Progenitor-like	SNHG6
Tumor_Derived_perCellType_Progenitor-like	NOP53
Tumor_Derived_perCellType_Progenitor-like	MRPL57
Tumor_Derived_perCellType_Progenitor-like	SELENOP
Tumor_Derived_perCellType_Progenitor-like	CCDC152
Tumor_Derived_perCellType_Progenitor-like	SRSF6
Tumor_Derived_perCellType_Progenitor-like	SNHG8
Tumor_Derived_perCellType_Progenitor-like	B4GALT6
Tumor_Derived_perCellType_Progenitor-like	HNRNPA1
Tumor_Derived_perCellType_Progenitor-like	KIF2A
Tumor_Derived_perCellType_Progenitor-like	HSH2D
Tumor_Derived_perCellType_Progenitor-like	PTPRCAP
Tumor_Derived_perCellType_Progenitor-like	NACA2
Tumor_Derived_perCellType_Progenitor-like	PDLIM1
Tumor_Derived_perCellType_Progenitor-like	CPA3
Tumor_Derived_perCellType_Progenitor-like	GNPTAB
Tumor_Derived_Promono-like	DEFB1
Tumor_Derived_Promono-like	RNASE2
Tumor_Derived_Promono-like	MS4A3
Tumor_Derived_Promono-like	SERPINB10
Tumor_Derived_Promono-like	SESN3
Tumor_Derived_Promono-like	ZFR
Tumor_Derived_Promono-like	MRPL33
Tumor_Derived_Promono-like	CTSG
Tumor_Derived_Promono-like	SLC44A1
Tumor_Derived_Promono-like	SLPI
Tumor_Derived_Promono-like	FUT4
Tumor_Derived_Promono-like	SRGN
Tumor_Derived_Promono-like	CD70
Tumor_Derived_Promono-like	PRLR
Tumor_Derived_Promono-like	PLD3
Tumor_Derived_Promono-like	LPL
Tumor_Derived_Promono-like	RETN
Tumor_Derived_Promono-like	TP53INP2
Tumor_Derived_Promono-like	HSPA5
Tumor_Derived_Promono-like	RNASE3
Tumor_Derived_Promono-like	CCL23
Tumor_Derived_Promono-like	EMB
Tumor_Derived_Promono-like	ATP8B4
Tumor_Derived_Promono-like	CLU
Tumor_Derived_Promono-like	FAM107B
